"Title","Artist","ConstituentID","Date","Medium","Classification","Dim_cm2","Style"
"Fourteen Etchings 1","Terry Winters","6408",1989,"One etching and aquatint from a portfolio of fourteen etching and aquatints thirteen with photogravure

","Print",1710,"Postmodernismo"
"Fourteen Etchings","Terry Winters","6408",1989,"Portfolio of fourteen etching and aquatints, thirteen with photogravure
","Print",1710,"Postmodernismo"
"Fourteen Etchings 10","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1710,"Postmodernismo"
"Fourteen Etchings 11","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1710,"Postmodernismo"
"Fourteen Etchings 12","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1714.75,"Postmodernismo"
"Fourteen Etchings 13","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1710,"Postmodernismo"
"Fourteen Etchings 14","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1710,"Postmodernismo"
"Fourteen Etchings 2","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1713.6,"Postmodernismo"
"Fourteen Etchings 3","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1721.97,"Postmodernismo"
"Fourteen Etchings 4","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1718.36,"Postmodernismo"
"Fourteen Etchings 5","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1710,"Postmodernismo"
"Fourteen Etchings 6","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1714.75,"Postmodernismo"
"Fourteen Etchings 7","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1714.75,"Postmodernismo"
"Fourteen Etchings 8","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1710,"Postmodernismo"
"Fourteen Etchings 9","Terry Winters","6408",1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","Print",1710,"Postmodernismo"
"The Bell Ringer or Map of the Ocean (Le Sonneur ou Carte de l'océan)","Max Ernst","1752",1950,"Etching","Print",396.8,"Expresionismo Abstracto"
"The Face of Woman (Des Gesicht des Weibes) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1728.32,"Cubismo"
"The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Portfolio of twelve lithographs","Print",2828.8,"Cubismo"
"Woman Bent over Phantom (Weib über Schemen gebeugt) (plate 10) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1731.06,"Cubismo"
"Woman Triumphs over Corpse (Das Weib triumphiert über den Toten) (plate 11) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1726.6,"Cubismo"
"The Clear Face (Das reine Gesicht) (plate 12) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1724.8,"Cubismo"
"The New Columbus and Saint George (Der neue Columbus und der heilige Georg) from The Bound Columbus (Der gefesselte Kolumbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1757.25,"Cubismo"
"The Last Judgement (Das jüngste Gericht) (plate 3) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1764,"Cubismo"
"The Path to the Grave (Der Weg ins Grab) (plate 4) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1738.59,"Cubismo"
"Couple in Candlelight (Das Paar im Kerzenlicht) (plate 5) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1690.5,"Cubismo"
"The Apple of Eve (Der Apfel der Eva) (plate 6) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1720.44,"Cubismo"
"At the Crossroads (Am Scheidewege) (plate 7) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1701.72,"Cubismo"
"Man with Raised Arms and the Figure of Death (Der Mann mit erhobenen Armen und die Gestalt des Todes) (plate 8) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1697.5,"Cubismo"
"Encounter (Begegnung) (plate 9) from The Bound Columbus (Der gefesselte Columbus)","Oskar Kokoschka","3197",1916,"Lithograph from a portfolio of twelve lithographs","Print",1680,"Cubismo"
"Reconciliation (for Parkett no. 9)","Francesco Clemente","1145",1986,"Drypoint bound into journal","Print",756,"Postmodernismo"
"Elegy and Etching (for Parkett no. 1)","Enzo Cucchi","1323",1994,"Aquatint and drypoint bound into journal","Print",1069.34,"Postmodernismo"
"Untitled, plate 1 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint","Print",897,"Postmodernismo"
"Untitled, plate 2 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint, monotype, and embossing","Print",891,"Postmodernismo"
"Untitled, plate 3 of 9, from the portfolio, Ode à ma mère","Louise Bourgeois","710",1995,"Drypoint","Print",912.03,"Postmodernismo"
"Untitled, plate 4 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint","Print",906.01,"Postmodernismo"
"Untitled, plate 5 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint","Print",900,"Postmodernismo"
"Untitled, plate 6 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint","Print",900,"Postmodernismo"
"Untitled, plate 7 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint","Print",900,"Postmodernismo"
"Untitled, plate 8 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint and roulette","Print",900,"Postmodernismo"
"Untitled, plate 9 of 9, from the portfolio, Ode à Ma Mère","Louise Bourgeois","710",1995,"Drypoint","Print",896.98,"Postmodernismo"
"Untitled (for Parkett no. 8)","Markus Raetz","4787",1986,"Aquatint bound into journal","Print",525.3,"Postmodernismo"
"Elderly Men (Ältere Herren) from Das graphische Werk von Emil Nolde 1920-1925","Emil Nolde","4327",1926,"Lithograph","Print",453.25,"Surrealismo"
".1 Elderly Men .2 Mythical Creatures","Emil Nolde","4327",1926,"Two lithographs","Print",444,"Surrealismo"
"Mythical Creatures (Fabelwesen) from Das graphische Werk von Emil Nolde 1910-1925","Emil Nolde","4327",1926,"Lithograph","Print",453.25,"Surrealismo"
"Trial proof for Christ Laying On His Hands, rejected plate from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure","Print",3260,"Surrealismo"
"Cover for Babylone d'Allemagne","Henri de Toulouse-Lautrec","5910",1894,"Lithograph","Print",616,"Impresionismo"
"Trial proof for ...The Accused Indicted Beneath A Forgotten Crucifix, rejected plate from Miserere","Georges Rouault","5053",1922,"Aquatint over photogravure","Print",2749.5,"Surrealismo"
"The Bell Ringer and Map of the Ocean (Le Sonneur et Carte de l'océan)","Max Ernst","1752",1950,"Two etchings, one inkless","Print",405,"Expresionismo Abstracto"
"Trial proof for The Bay Of The Dead, rejected plate from Miserere","Georges Rouault","5053",1922,"Aquatint with roulette over photogravure","Print",3307.75,"Surrealismo"
"Foreword from The Bewitched Tailor","Anatoli Lvovich Kaplan","2991",1954,"One from a portfolio of twenty-eight lithographs (including front and back covers)","Print",214.24,"Expresionismo Abstracto"
"Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures)","Unidentified Artists","23308",1914,"Portfolio of 101 lithographs with watercolor and gouache additions and lithographed manuscript text","Print",777.6,"Cubismo"
"Second Illustration for Chapter One (Zweite Illustration zu Kapitel Eins) from Die Fürstin (The Duchess)","Max Beckmann","429",1917,"Drypoint","Print",527.35,"Cubismo"
"Printer's proof of cover for Kniga o knigakh (Book about Books), no. 4","Aleksandr Rodchenko","4975",1924,"Letterpress","Print",472.59,"Surrealismo"
"Dimensional Curve Interlace","Iakov Chernikhov","1093",1928,"Ink, watercolor, and pencil on paper","Drawing",729.6,"Surrealismo"
"Untitled drawing and manuscript of poem Love on the Decline","Ilia Zdanevich, Kirill Zdanevich","12660, 11875",1917,"Pen and ink with pencil on paper","Drawing",254.56,"Cubismo"
"The Bride of Corinth (Die Braut von Korinth)","Alfred Kubin","3276",1932,"Lithograph","Print",1897.56,"Surrealismo"
"Invitation to a lecture given by Zdanevich, on October 23 in Tiflis","Ilia Zdanevich","12660",1920,"Letterpress","Print",106.25,"Surrealismo"
"Invitation to Terent'ev's May Day soiree","Igor' Terent'ev","12509",1920,"Linoleum cut","Print",150.42,"Surrealismo"
"A Is an Alphabet","Andy Warhol","6246",1953,"Portfolio of 26 offset lithographs","Print",364.8,"Expresionismo Abstracto"
"Untitled manuscript of verse","Olga Rozanova","5066",1917,"Ink on paper","Drawing",112.56,"Cubismo"
"Letterhead for the journal Za rubezhom (Abroad)","Varvara Stepanova","5643",1930,"Letterpress","Print",624.56,"Surrealismo"
"Loose pages of documentation on 41 Degrees from magazine of the period","Russian Book Collection","23323",1918,"Letterpress","Print",676.8,"Cubismo"
"Maquette for cover of Agronomy","Kirill Zdanevich","11875",1930,"Cut-and-pasted printed paper and cut-and-pasted gelatin silver print with gouache, ink, and pencil additions on board","Drawing",318,"Surrealismo"
"Golda Meir (I) Prime Minister (plate 1) from Jerusalem Faces","Oskar Kokoschka","3197",1973,"One from a portfolio of six lithographs","Print",3289,"Pop Art"
"Jerusalem Faces","Oskar Kokoschka","3197",1973,"Portfolio of six lithographs","Print",3549.6,"Pop Art"
"Dr. Shimon Agranat (plate 2) from Jerusalem Faces","Oskar Kokoschka","3197",1973,"One from a portfolio of six lithographs","Print",3282.5,"Pop Art"
"His Beatitude Benedictos I Greek Orthodox Patriarch of Jerusalem (plate 3) from Jerusalem Faces","Oskar Kokoschka","3197",1973,"One from a portfolio of six lithographs","Print",3276,"Pop Art"
"Moshe Dyan Minister of Defense (plate 4) from Jerusalem Faces","Oskar Kokoschka","3197",1973,"One from a portfolio of six lithographs","Print",3255,"Pop Art"
"Sheik Mustafa Khalil el-Ansari Chief Warden of the Mosque of Omar (plate 5) from Jerusalem Faces","Oskar Kokoschka","3197",1973,"One from a portfolio of six lithographs","Print",3194.8,"Pop Art"
"Teddy Kolleck Mayor of Jerusalem  (plate 6) from Jerusalem Faces","Oskar Kokoschka","3197",1973,"One from a portfolio of six lithographs","Print",3260,"Pop Art"
"Portrait of D. P. Gordeev","Unidentified Artist","23390",1923,"Letterpress","Print",249.78,"Surrealismo"
"Untitled (Gurdjeieff in Tiflis)","Sigizmund Valishevskii","23530",1919,"Pencil","Drawing",241.3,"Cubismo"
"Drawing for Mouchoir de Nuages","Juan Gris","2349",1925,"Pen and ink on paper","Drawing",238.62,"Surrealismo"
"Study for cover of Sovremennaia Arkhitektura (Contemporary Architecture)","Varvara Stepanova","5643",1929,"Pencil and colored pencil on lined paper","Drawing",201.4,"Surrealismo"
"Announcement for a series of lectures on Italian Futurism to be delivered by Il'ia Zdanevich at the Fantastic Tavern in Tiflis","Ilia Zdanevich","12660",1918,"Letterpress","Print",485.94,"Cubismo"
"Study for Tribun Poetov (Tribune of Poets)","Kirill Zdanevich","11875",1929,"Gouache on paper","Drawing",758.2,"Surrealismo"
"Sketch for Turnir Poetov (Tournament of Poets)","Ivan Kliun","13470",1928,"Gouache on paper","Drawing",364.06,"Surrealismo"
"Tekhprop (Tech-prop)","Varvara Stepanova","5643",1933,"Letterpress","Print",4188.8,"Surrealismo"
"Visiting card of Kara-Darvish, with drawing by Kirill Zdanevich entitled The Furious Lady","Kirill Zdanevich","11875",1918,"Pencil on paper","Drawing",73.26,"Cubismo"
"Trial proof for ""They Have Ruined Even the Ruins,"" plate XXXIV from Miserere","Georges Rouault","5053",1926,"Aquatint, lift ground aquatint, and drypoint with roulette over photogravure","Print",3272.4,"Surrealismo"
"Trial proof for It Would be So Sweet to Love!, plate XIII from Miserere","Georges Rouault","5053",1923,"Lift ground aquatint, etching, and drypoint over photogravure
","Print",3299.12,"Surrealismo"
"Plate II (suite of second states) from L'INSTANT FATAL","Mario Prassinos","4721",1946,"Drypoint, aquatint, and engraving, printed in black","Print",744,"Expresionismo Abstracto"
"Trial proof for We Think Ourselves Kings, plate VII from Miserere","Georges Rouault","5053",1923,"Aquatint, lift ground aquatint, and drypoint with roulette over photogravure","Print",3310.71,"Surrealismo"
"Trial proof for In the Land of Thirst and Terror, plate XXVI from Miserere","Georges Rouault","5053",1923,"Aquatint and lift ground aquatint with roulette over photogravure","Print",3303.16,"Surrealismo"
"Iskusstvo. Vestnik otdela izobrazitel'nykh iskusstv narodnogo Komissariata po prosveshcheniiu (Art: Bulletin of the Department of Visual Arts in the People's Commissariat for Enlightenment)","Vasily Kandinsky","2981",1919,"Complete set of eight issues of periodical, with line block reproductions in most","Print",847.7,"Cubismo"
"Plate 2 from the illustrated book Naturelles by René de Solier","Wols (A. O. Wolfgang Schulze)","6432",1946,"Drypoint","Print",199.64,"Expresionismo Abstracto"
"Plate I from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1379.04,"Pop Art"
"Wrinkle","Liliana Porter","4703",1968,"Portfolio of ten photogravures","Print",614.18,"Pop Art"
"Plate X from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1364.16,"Pop Art"
"Plate II from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1379.73,"Pop Art"
"Plate III from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1368.22,"Pop Art"
"Plate IV from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1357.44,"Pop Art"
"Plate V from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1380.4,"Pop Art"
"Plate VI from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1351.37,"Pop Art"
"Plate VII from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1372.95,"Pop Art"
"Plate VIII from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1375.66,"Pop Art"
"Plate IX from Wrinkle","Liliana Porter","4703",1968,"One from a portfolio of ten photogravures","Print",1364.85,"Pop Art"
"Frontispiece from the illustrated book Naturelles by René de Solier","Wols (A. O. Wolfgang Schulze)","6432",1946,"Drypoint","Print",202.5,"Expresionismo Abstracto"
"Trial proof for Jesus Mocked..., plate II from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure","Print",3282.5,"Surrealismo"
"Trial proof for Eternally Scourged..., plate III from Miserere","Georges Rouault","5053",1922,"Aquatint, etching, and drypoint with roulette over photogravure","Print",3292.6,"Surrealismo"
"Trial proof for Take Refuge in Your Heart, Miserable Vagabond, plate IV from Miserere","Georges Rouault","5053",1922,"Aquatint, etching, and drypoint with roulette over photogravure, with pen and ink additions","Print",3269.5,"Surrealismo"
"Trial proof for Who Does Not Paint Himself a Face?, plate VIII from Miserere","Georges Rouault","5053",1923,"Aquatint and drypoint with roulette over photogravure","Print",3262.3,"Surrealismo"
"Trial proof for Tomorrow Will Be Beautiful, Said The Shipwrecked Man, plate XI from Miserere","Georges Rouault","5053",1922,"Aquatintand drypoint with roulette over photogravure","Print",3292.6,"Surrealismo"
"Trial proof for It is Hard to Live..., plate XII from Miserere","Georges Rouault","5053",1922,"Aquatint, etching, and drypoint with roulette over photogravure","Print",3327.4,"Surrealismo"
"Trial proof for Daughter of Joy, So-Called, plate XIV from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure, with pen and ink additions","Print",3264.47,"Surrealismo"
"Trial proof for Mouth that was Fresh, Bitter as Gall, plate XV from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure","Print",3280.29,"Surrealismo"
"Trial proof for The Society Lady Fancies She Has a Rserved Seat in Heaven, plate XVI from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure","Print",3297.65,"Surrealismo"
"Trial proof for The Condemned is Led Away..., plate XVIII from Miserere","Georges Rouault","5053",1922,"Aquatint, etching, and drypoint with roulette over photogravure, with pen and ink additions","Print",3274.53,"Surrealismo"
"Trial proof for Street of the Lonely, plate XXIII from Miserere","Georges Rouault","5053",1922,"Aquatint, etching, and drypoint with roulette over photogravure, with pen and ink additions","Print",3292.6,"Surrealismo"
"Trial proof for Sing Matins, A New Day Is Born, plate XXIX from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure","Print",3310.71,"Surrealismo"
"Trial proof for And Veronica With Her Delicate Linen Still Goes Her Way..., plate XXXIII from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure","Print",3295.5,"Surrealismo"
"Trial proof for This Will Be The Last Time, Little Father!, plate XXXVI from Miserere","Georges Rouault","5053",1927,"Aquatint and drypoint with roulette over photogravure","Print",3266.52,"Surrealismo"
"Trial proof for Man Is A Wolf To Man, plate XXXVII from Miserere","Georges Rouault","5053",1926,"Aquatint and drypoint over photogravure, with pen and ink additions","Print",3310.71,"Surrealismo"
"Trial proof for Face To Face, plate XL from Miserere","Georges Rouault","5053",1926,"Aquatint, etching, and drypoint with roulette over photogravure","Print",3278.06,"Surrealismo"
"Trial proof for Death Took Him As He Rose From His Bed of Nettles, plate XLV from Miserere","Georges Rouault","5053",1922,"Aquatint, etching, and drypoint with roulette over photogravure","Print",3273.04,"Surrealismo"
"Trial proof for In The Press, The Grapes Were Trodden, plate XLVIII from Miserere","Georges Rouault","5053",1922,"Aquatint and drypoint with roulette over photogravure","Print",3287.55,"Surrealismo"
"Plus le coeur est noble, moins le col est roide (The Nobler the Heart, the Less Stiff the Collar) for the illustrated book Miserere","Georges Rouault","5053",1926,"Aquatint, drypoint and photogravure with ink additions","Print",3263,"Surrealismo"
"Trial proof for ""With Tooth and Nail,"" plate L from Miserere","Georges Rouault","5053",1926,"Aquatint and drypoint over photogravure, with pen and ink additions","Print",3282.5,"Surrealismo"
"Trial proof for Sometimes The Blind Have Comforted Those Who See, plate LV from Miserere","Georges Rouault","5053",1926,"Aquatint, etching, and drypoint with roulette over photogravure, with pen and ink additions","Print",3269.5,"Surrealismo"
"Trial proof for In These Dark Times Of Vainglory And Unbelief, Our Lady of Land's End Keeps Vigil, plate LVI from Miserere","Georges Rouault","5053",1927,"Aquatint, etching, and drypoint with roulette over photogravure","Print",3259.44,"Surrealismo"
"Dognat' i peregnat' v tekhniko-ekonomicheskom otnoshenii peredovye kapitalisticheskie strany v 10 let. 70 kartinnye diagrammna otkrytkakh (To Catch up with and Surpass the Leading Capitalist Countries in Technical and Economic Affairs in 10 Years. 70 Pictorial Diagrams on Postcards)","Unidentified Artists","23308",1931,"Portfolio of 70 postcards and one booklet, letterpress printed","Print",157.5,"Surrealismo"
"Rrose Sélavy in Wilson-Lincoln System from To and From Rrose Sélavy","Shuzo Takiguchi","14022",1967,"Lenticular print on board","Print",837.12,"Pop Art"
"Summer Critic from the special edition boxed set To and From Rrose Sélavy","Jasper Johns","2923",1966,"Screenprint on colored acetate set into embossed and die-cut paper","Print",789.33,"Pop Art"
"Untitled from Flash - November 22, 1963","Andy Warhol","6246",1968,"One from an illustrated book with twelve screenprints (including cover)
","Print",2819.61,"Pop Art"
"À la recherche du shoe perdu","Andy Warhol","6246",1955,"Portfolio of eighteen offset lithographs with synthetic dye-based ink additions","Print",3067.05,"Expresionismo Abstracto"
"Unbound plate from Nevelson's World","Louise Nevelson","4278",1983,"Screenprint","Print",662.5,"Postmodernismo"
"Couple in the Mangue (Casal no Mangue) from Mangue","Lasar Segall","5317",1941,"Woodcut from a portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions","Print",858.08,"Expresionismo Abstracto"
"Mangue","Lasar Segall","5317",1941,"Portfolio with three woodcuts, one lithograph with hand additions, and forty-two line block reproductions","Print",858.08,"Expresionismo Abstracto"
"Seated Woman of the Mangue (Mulher do Mangue sentada) from Mangue","Lasar Segall","5317",1941,"Woodcut from a portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions","Print",858.08,"Expresionismo Abstracto"
"Group from the Mangue (Grupo do Mangue) from Mangue","Lasar Segall","5317",1941,"Woodcut from a portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions","Print",858.08,"Expresionismo Abstracto"
"Women of the Mangue (Mulheres do Mangue) from Mangue","Lasar Segall","5317",1941,"Lithograph with hand additions from a portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions","Print",858.08,"Expresionismo Abstracto"
"Trial proof for Abandoned, rejected plate from Miserere","Georges Rouault","5053",1922,"Aquatint with roulette over photogravure","Print",3284.59,"Surrealismo"
"Four trial proofs for plates from Histoire de l'oeil","André Masson","3821",1928,"Illustrated book with four lithographs, two with blue pencil additions","Print",456,"Surrealismo"
"Caliban from the portfolio Visions of Shakespeare (Shakespeare Visionen)","Alfred Kubin","3276",1918,"Lithograph","Print",1631.72,"Cubismo"
"Trial proof for Old Mother, Now Cries Alone","Georges Rouault","5053",1922,"Lift ground aquatint, aquatint, and drypoint over photogravure","Print",3276,"Surrealismo"
"Untitled from My Life","Marc Chagall","1055",1922,"Title page with hand additions from a portfolio of twenty etchings, fifteen with drypoint","Print",1562.52,"Surrealismo"
"Plate 16 from L'avaguardia internazionale, Volume 3/L'avant-garde internationale, Volume 3/The International Avant-Gardem Volume 3","Mimmo Rotella","5041",1962,"Etching","Print",167.24,"Pop Art"
"Award for an outstanding shockworker","Alexander Liubimov","24018",1931,"Offset lithograph","Print",673.92,"Surrealismo"
"Printer's proof for cover for Neokonchennye spory (Unfinished Argument)","Varvara Rodchenko","8476",1978,"Letterpress","Print",547.2,"Pop Art"
"""Negro, negro, negro..."" Portrait of Aimé Césaire, Laureate (plate, following title page) from Corps perdu","Pablo Picasso","4609",1949,"Drypoint from an illustrated book with twenty engravings, ten aquatints (one with drypoint), one drypoint, and one etching (including wrapper front)","Print",1099.8,"Expresionismo Abstracto"
"Twelve Original Lithographs by Pierre-Auguste Renoir (Douze lithographies originales de Pierre-Auguste Renoir)","Pierre-Auguste Renoir","4869",1904,"Portfolio of twelve lithographs","Print",825,"Impresionismo"
"Zheleznodorozhnyi transportt—rodnoi brat krasnoi armii (Railroad Transport—The Red Army's Brother)","V. M. Elin","24016",1941,"Letterpress","Print",2397.75,"Expresionismo Abstracto"
"HANGED MEN (plate, page 197) from L'YMAGIER, Tome I, No.8","Georges D'espagnat","1761",1896,"Woodcut, printed in color","Print",81.78,"Impresionismo"
"Poème-Objet from VVV Portfolio","André Breton","768",1942,"Postcard, thread, sequins, and ink on paper from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print","Drawing",1617.78,"Expresionismo Abstracto"
"Score for Ballet 0-100 from VVV Portfolio","Alexander Calder","922",1942,"Etching from a portfolio of five etchings (one with aquatint), three duplicated drawings (two watercolor on paper and one crayon on paper), one collage, one engraving, and one gelatin silver print","Print",1615.25,"Expresionismo Abstracto"
